s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
T	319	0.372	2	0	815.278
T	320	0.361	2	0	815.278
T	321	0.404	2	0	815.278
T	322	0.389	2	0	815.278
T	323	0.331	2	0	815.278
T	324	0.333	2	0	815.278
T	325	0.325	2	0	815.278
T	326	0.309	2	0	815.278
T	327	0.292	2	0	815.278
T	328	0.370	2	0	815.278
T	329	0.333	2	0	815.278
T	330	0.289	2	0	815.278
T	331	0.315	2	0	815.278
T	332	0.327	2	0	815.278
T	333	0.371	2	0	815.278
T	334	0.348	2	0	815.278
T	335	0.332	2	0	815.278
T	336	0.403	2	0	815.278
T	337	0.266	2	0	815.278
T	338	0.317	2	0	815.278
T	339	0.270	2	0	815.278
T	340	0.402	2	0	815.278
T	341	0.366	2	0	815.278
T	342	0.357	2	0	815.278
T	343	0.303	2	0	815.278
T	344	0.361	2	0	815.278
T	345	0.347	2	0	815.278
T	346	0.258	2	0	815.278
T	347	0.329	2	0	815.278
T	348	0.345	2	0	815.278
T	349	0.302	2	0	815.278
T	350	0.341	2	0	815.278
T	351	0.374	2	0	815.278
T	352	0.314	2	0	815.278
T	353	0.361	2	0	815.278
T	354	0.362	2	0	815.278
T	355	0.380	2	0	815.278
T	356	0.320	2	0	815.278
T	357	0.409	2	0	815.278
T	358	0.304	2	0	815.278
T	359	0.356	2	0	815.278
T	360	0.307	2	0	815.278
T	361	0.357	2	0	815.278
T	362	0.317	2	0	815.278
T	363	0.298	2	0	815.278
T	364	0.308	2	0	815.278
T	365	0.282	2	0	815.278
T	366	0.336	2	0	815.278
T	367	0.352	2	0	815.278
T	368	0.338	2	0	815.278
T	369	0.294	2	0	815.278
T	370	0.337	2	0	815.278
T	371	0.344	2	0	815.278
T	372	0.391	2	0	815.278
T	373	0.346	2	0	815.278
T	374	0.374	2	0	815.278
T	375	0.364	2	0	815.278
T	376	0.409	2	0	815.278
T	377	0.308	2	0	815.278
T	378	0.377	2	0	815.278
T	379	0.308	2	0	815.278
T	380	0.369	2	0	815.278
T	381	0.402	2	0	815.278
T	382	0.384	2	0	815.278
T	383	0.391	2	0	815.278
T	384	0.329	2	0	815.278
T	385	0.360	2	0	815.278
T	386	0.285	2	0	815.278
T	387	0.365	2	0	815.278
T	388	0.332	2	0	815.278
T	389	0.296	2	0	815.278
T	390	0.345	2	0	815.278
T	391	0.292	2	0	815.278
T	392	0.372	2	0	815.278
T	393	0.393	2	0	815.278
T	394	0.358	2	0	815.278
T	395	0.283	2	0	815.278
T	396	0.312	2	0	815.278
T	397	0.312	2	0	815.278
T	398	0.317	2	0	815.278
T	399	0.399	2	0	815.278
T	400	0.415	2	0	815.278
T	401	0.380	2	0	815.278
T	402	0.352	2	0	815.278
T	403	0.392	2	0	815.278
T	404	0.362	2	0	815.278
T	405	0.368	2	0	815.278
T	406	0.295	2	0	815.278
T	407	0.364	2	0	815.278
T	408	0.329	2	0	815.278
T	409	0.320	2	0	815.278
T	410	0.335	2	0	815.278
T	411	0.332	2	0	815.278
T	412	0.373	2	0	815.278
T	413	0.371	2	0	815.278
T	414	0.352	2	0	815.278
T	415	0.391	2	0	815.278
T	416	0.302	2	0	815.278
T	417	0.379	2	0	815.278
T	418	0.423	2	0	815.278
T	419	0.273	2	0	815.278
T	420	0.414	2	0	815.278
T	421	0.392	2	0	815.278
T	422	0.314	2	0	815.278
T	423	0.269	2	0	815.278
T	424	0.383	2	0	815.278
T	425	0.359	2	0	815.278
T	426	0.391	2	0	815.278
T	427	0.324	2	0	815.278
T	428	0.296	2	0	815.278
T	429	0.306	2	0	815.278
T	430	0.318	2	0	815.278
T	431	0.287	2	0	815.278
T	432	0.315	2	0	815.278
T	433	0.395	2	0	815.278
T	434	0.390	2	0	815.278
T	435	0.375	2	0	815.278
T	436	0.342	2	0	815.278
T	437	0.307	2	0	815.278
T	438	0.380	2	0	815.278
T	439	0.366	2	0	815.278
T	440	0.340	2	0	815.278
T	441	0.375	2	0	815.278
T	442	0.378	2	0	815.278
T	443	0.359	2	0	815.278
T	444	0.403	2	0	815.278
